time,value
0.000000000,121683
0.000031250,120385
0.000062500,105555
0.000093750,107633
0.000125000,107793
0.000156250,149614
0.000187500,195983
0.000218750,190916
0.000250000,172821
0.000281250,169061
0.000312500,160602
0.000343750,82536
0.000375000,70482
0.000406250,83157
0.000437500,75137
0.000468750,56440
0.000500000,30215
0.000531250,41406
0.000562500,31488
0.000593750,4238
0.000625000,24173
0.000656250,75978
0.000687500,88198
0.000718750,95390
0.000750000,146307
0.000781250,162623
0.000812500,95425
0.000843750,32818
0.000875000,22032
0.000906250,25938
0.000937500,23649
0.000968750,43459
0.001000000,95057
0.001031250,96341
0.001062500,103796
0.001093750,128302
0.001125000,136337
0.001156250,139167
0.001187500,137878
0.001218750,150303
0.001250000,146163
0.001281250,184846
0.001312500,220536
0.001343750,225630
0.001375000,218562
0.001406250,228115
0.001437500,234495
0.001468750,192327
0.001500000,131706
0.001531250,119610
0.001562500,118892
0.001593750,121388
0.001625000,123832
0.001656250,128181
0.001687500,120334
0.001718750,100149
0.001750000,53384
0.001781250,-8203
0.001812500,-21123
0.001843750,-5887
0.001875000,15009
0.001906250,62677
0.001937500,108292
0.001968750,127398
0.002000000,153726
0.002031250,181590
0.002062500,161336
0.002093750,161328
0.002125000,195896
0.002156250,199313
0.002187500,151772
0.002218750,128019
0.002250000,111555
0.002281250,72999
0.002312500,40918
0.002343750,44344
0.002375000,46785
0.002406250,7045
0.002437500,-41220
0.002468750,-68268
0.002500000,-105323
0.002531250,-123590
0.002562500,-114184
0.002593750,-109873
0.002625000,-109368
0.002656250,-102892
0.002687500,-95093
0.002718750,-95375
0.002750000,-99635
0.002781250,-129276
0.002812500,-164404
0.002843750,-165549
0.002875000,-162609
0.002906250,-166534
0.002937500,-173465
0.002968750,-189019
0.003000000,-194054
0.003031250,-150202
0.003062500,-102231
0.003093750,-66410
0.003125000,-46470
0.003156250,-7990
0.003187500,213
0.003218750,-38230
0.003250000,-36397
0.003281250,45910
0.003312500,137206
0.003343750,174054
0.003375000,205140
0.003406250,223969
0.003437500,182342
0.003468750,120266
0.003500000,108196
0.003531250,116918
0.003562500,129619
0.003593750,180797
0.003625000,232550
0.003656250,259156
0.003687500,275128
0.003718750,306174
0.003750000,313142
0.003781250,335141
0.003812500,373513
0.003843750,367715
0.003875000,360933
0.003906250,356857
0.003937500,325751
0.003968750,295134
0.004000000,291050
