time,value
0.000000000,-216071
0.000031250,-19439
0.000062500,-570447
0.000093750,-925559
0.000125000,-405355
0.000156250,-163999
0.000187500,111977
0.000218750,-61533
0.000250000,142289
0.000281250,155031
0.000312500,-140790
0.000343750,-3174
0.000375000,-149408
0.000406250,-62288
0.000437500,89994
0.000468750,93700
0.000500000,298119
0.000531250,-17791
0.000562500,-183045
0.000593750,-180761
0.000625000,-50331
0.000656250,525717
0.000687500,749268
0.000718750,855863
0.000750000,487547
0.000781250,829857
0.000812500,643980
0.000843750,380459
0.000875000,421057
0.000906250,685502
0.000937500,723691
0.000968750,866586
0.001000000,811655
0.001031250,725843
0.001062500,385885
0.001093750,15561
0.001125000,40908
0.001156250,291866
0.001187500,502631
0.001218750,707679
0.001250000,468450
0.001281250,231405
0.001312500,-67106
0.001343750,-160869
0.001375000,-162580
0.001406250,22746
0.001437500,391826
0.001468750,678984
0.001500000,945169
0.001531250,521880
0.001562500,9496
0.001593750,135798
0.001625000,123030
0.001656250,145260
0.001687500,614832
0.001718750,465854
0.001750000,87217
0.001781250,-109374
0.001812500,-350686
0.001843750,-313816
0.001875000,-393095
0.001906250,-380415
0.001937500,-299836
0.001968750,-258662
0.002000000,-325960
0.002031250,-419689
0.002062500,-469576
0.002093750,-535491
0.002125000,-217332
0.002156250,-34207
0.002187500,55078
0.002218750,112425
0.002250000,153564
0.002281250,-252373
0.002312500,-522271
0.002343750,-319444
0.002375000,-620358
0.002406250,-658844
0.002437500,-611728
0.002468750,-427481
0.002500000,-201597
0.002531250,-369775
0.002562500,-437056
0.002593750,-335166
0.002625000,-155970
0.002656250,-71251
0.002687500,-359806
0.002718750,-253957
0.002750000,-236246
0.002781250,-201380
0.002812500,-225310
0.002843750,-266874
0.002875000,-98482
0.002906250,-589748
0.002937500,-360740
0.002968750,-253530
0.003000000,-281387
0.003031250,-325260
0.003062500,-348517
0.003093750,-359569
0.003125000,-398351
0.003156250,-243723
0.003187500,-275882
0.003218750,-68918
0.003250000,-71131
0.003281250,-65153
0.003312500,310728
0.003343750,122704
0.003375000,-342474
0.003406250,-374288
0.003437500,-246200
0.003468750,-142637
0.003500000,24537
0.003531250,288538
0.003562500,284060
0.003593750,169098
0.003625000,-110860
0.003656250,-329501
0.003687500,-365424
0.003718750,-213149
0.003750000,115428
0.003781250,259467
0.003812500,161168
0.003843750,122209
0.003875000,-40074
0.003906250,22958
0.003937500,279512
0.003968750,567473
0.004000000,582342
0.004031250,472859
0.004062500,592831
0.004093750,312893
0.004125000,273002
0.004156250,84334
0.004187500,237901
0.004218750,822835
0.004250000,872912
0.004281250,1255633
0.004312500,1102030
0.004343750,517393
0.004375000,467122
0.004406250,84244
0.004437500,127235
0.004468750,699768
0.004500000,433526
0.004531250,494284
0.004562500,198933
0.004593750,85486
0.004625000,356705
0.004656250,164424
0.004687500,195743
0.004718750,335990
0.004750000,698479
0.004781250,389635
0.004812500,163762
0.004843750,-25747
0.004875000,378356
0.004906250,364031
0.004937500,464145
0.004968750,836459
0.005000000,477070
0.005031250,-133812
0.005062500,-105581
0.005093750,256947
0.005125000,152700
0.005156250,-25466
0.005187500,76173
0.005218750,-253061
0.005250000,-466943
0.005281250,62033
0.005312500,-135838
0.005343750,-233782
0.005375000,-100598
0.005406250,-86646
0.005437500,-209865
0.005468750,23990
0.005500000,-407798
0.005531250,-190465
0.005562500,-583714
0.005593750,-118238
0.005625000,364279
0.005656250,-190126
0.005687500,-551738
0.005718750,-813893
0.005750000,-751849
0.005781250,-296637
0.005812500,-324270
0.005843750,-592706
0.005875000,-583843
0.005906250,-488123
0.005937500,-359802
0.005968750,-783220
0.006000000,-673475
0.006031250,-418504
0.006062500,-562587
0.006093750,-551071
0.006125000,-259778
0.006156250,-598249
0.006187500,-866110
0.006218750,-620062
0.006250000,-134088
0.006281250,-281288
0.006312500,-302199
0.006343750,-595031
0.006375000,-330203
0.006406250,-202818
0.006437500,211915
0.006468750,273316
0.006500000,-411686
0.006531250,-661784
0.006562500,-596156
0.006593750,-46514
0.006625000,32095
0.006656250,-137959
0.006687500,-186937
0.006718750,-667325
0.006750000,-625791
0.006781250,91796
0.006812500,100306
0.006843750,196239
0.006875000,-120942
0.006906250,197384
0.006937500,405918
0.006968750,-38034
0.007000000,207894
0.007031250,157592
0.007062500,90465
0.007093750,428444
0.007125000,560906
0.007156250,479592
0.007187500,26414
0.007218750,371027
0.007250000,233287
0.007281250,-7064
0.007312500,176812
0.007343750,294251
0.007375000,-73063
0.007406250,-250229
0.007437500,329986
0.007468750,225848
0.007500000,-122642
0.007531250,87384
0.007562500,200756
0.007593750,190749
0.007625000,332666
0.007656250,461841
0.007687500,310690
0.007718750,143884
0.007750000,341406
0.007781250,609254
0.007812500,252754
0.007843750,105143
0.007875000,238490
0.007906250,266383
0.007937500,81464
0.007968750,156224
0.008000000,507798
0.008031250,268953
0.008062500,64777
0.008093750,346795
0.008125000,214643
0.008156250,361584
0.008187500,539698
0.008218750,501562
0.008250000,381106
0.008281250,379624
0.008312500,317046
0.008343750,335061
0.008375000,-86600
0.008406250,-218359
0.008437500,-515508
0.008468750,-349733
0.008500000,-37891
0.008531250,28075
0.008562500,297701
0.008593750,-1685
0.008625000,-354808
0.008656250,-297512
0.008687500,280624
0.008718750,543279
0.008750000,436175
0.008781250,310414
0.008812500,-213117
0.008843750,-524106
0.008875000,-399799
0.008906250,-103139
0.008937500,56010
0.008968750,-85079
0.009000000,-83955
0.009031250,-471134
0.009062500,-780678
