time,value
0.000000000,2697
0.000031250,45152
0.000062500,-218154
0.000093750,51160
0.000125000,-247991
0.000156250,-182742
0.000187500,-15421
0.000218750,-121931
0.000250000,48352
0.000281250,-262299
0.000312500,-44312
0.000343750,-129191
0.000375000,-76143
0.000406250,-381945
0.000437500,208922
0.000468750,-167019
0.000500000,-342469
0.000531250,-114548
0.000562500,53608
0.000593750,-72037
0.000625000,-135335
0.000656250,195364
0.000687500,9908
0.000718750,121309
0.000750000,149247
0.000781250,-82227
0.000812500,254561
0.000843750,216991
0.000875000,-116502
0.000906250,287898
0.000937500,244696
0.000968750,-29821
0.001000000,252454
0.001031250,134482
0.001062500,49001
0.001093750,164120
0.001125000,-89569
0.001156250,108691
0.001187500,74303
0.001218750,-85771
0.001250000,172009
0.001281250,-251111
0.001312500,17193
0.001343750,161385
0.001375000,-241255
0.001406250,165588
0.001437500,217818
0.001468750,-103354
0.001500000,85696
0.001531250,96913
0.001562500,-206588
0.001593750,395410
0.001625000,49791
0.001656250,42966
0.001687500,316518
0.001718750,118077
0.001750000,180055
0.001781250,243130
0.001812500,201812
0.001843750,35947
0.001875000,219672
0.001906250,127436
0.001937500,-276402
0.001968750,271624
0.002000000,-17648
0.002031250,-257445
0.002062500,-99176
0.002093750,98380
0.002125000,-379591
0.002156250,148387
0.002187500,-48965
0.002218750,-138872
0.002250000,291989
0.002281250,-112175
0.002312500,62438
0.002343750,169719
0.002375000,70166
0.002406250,142085
0.002437500,28963
0.002468750,276275
0.002500000,2926
0.002531250,-9511
0.002562500,100266
0.002593750,-148965
0.002625000,15002
0.002656250,5786
0.002687500,-111645
0.002718750,58806
0.002750000,101232
0.002781250,41705
0.002812500,189022
0.002843750,94260
0.002875000,275116
0.002906250,80760
0.002937500,372947
0.002968750,337784
0.003000000,104089
0.003031250,412792
0.003062500,290690
0.003093750,137297
0.003125000,356867
0.003156250,255832
0.003187500,181950
0.003218750,336436
0.003250000,170770
0.003281250,314406
0.003312500,386652
0.003343750,172450
0.003375000,396635
0.003406250,461766
0.003437500,280709
0.003468750,549726
0.003500000,210501
0.003531250,165244
0.003562500,394580
0.003593750,107479
0.003625000,74737
0.003656250,204864
0.003687500,-55832
0.003718750,86160
0.003750000,-159124
0.003781250,-260152
0.003812500,-144282
0.003843750,-375101
0.003875000,-322563
0.003906250,-240785
0.003937500,-456144
0.003968750,-116080
0.004000000,-226931
0.004031250,-344395
0.004062500,-44437
0.004093750,-248758
0.004125000,-145450
0.004156250,-119033
0.004187500,-261667
0.004218750,-98265
0.004250000,-362572
0.004281250,-384100
0.004312500,-153763
0.004343750,-300612
0.004375000,-273219
0.004406250,-389458
0.004437500,-330321
0.004468750,-90431
0.004500000,-320017
0.004531250,-264526
0.004562500,-211775
0.004593750,-160267
0.004625000,-285926
0.004656250,-170617
0.004687500,24159
0.004718750,-162903
0.004750000,-62170
0.004781250,-57317
0.004812500,-127797
0.004843750,-158547
0.004875000,-205007
0.004906250,-148724
0.004937500,-132256
0.004968750,-205444
0.005000000,-141205
0.005031250,-25895
0.005062500,-214866
0.005093750,-89817
0.005125000,-73008
0.005156250,-75492
0.005187500,-169833
0.005218750,-173617
0.005250000,-53624
0.005281250,-234680
0.005312500,76666
0.005343750,-204245
0.005375000,33016
0.005406250,14015
0.005437500,-9726
0.005468750,-94991
0.005500000,121484
0.005531250,154220
0.005562500,44173
0.005593750,99332
0.005625000,246166
0.005656250,144650
0.005687500,177251
0.005718750,291345
0.005750000,162809
0.005781250,325171
0.005812500,201535
0.005843750,57013
0.005875000,202656
0.005906250,177818
0.005937500,31450
0.005968750,-46076
0.006000000,150200
0.006031250,-42150
0.006062500,-33995
0.006093750,55137
0.006125000,38241
0.006156250,-40239
0.006187500,25114
0.006218750,-28382
0.006250000,-97445
0.006281250,-208921
0.006312500,-109408
0.006343750,-92748
0.006375000,-238890
0.006406250,80427
0.006437500,-127074
0.006468750,-124322
0.006500000,44713
0.006531250,62654
0.006562500,-41881
0.006593750,7702
0.006625000,-37892
0.006656250,-14687
0.006687500,-1744
0.006718750,113260
0.006750000,-89216
0.006781250,128704
0.006812500,64460
0.006843750,9546
0.006875000,97162
0.006906250,23141
0.006937500,-52700
0.006968750,199684
0.007000000,-202494
0.007031250,99782
0.007062500,102182
0.007093750,-97698
0.007125000,-10279
0.007156250,65766
0.007187500,89813
0.007218750,-290528
0.007250000,13017
0.007281250,-283425
0.007312500,-228324
0.007343750,-361464
0.007375000,-474907
0.007406250,-155565
0.007437500,-584285
0.007468750,-354933
0.007500000,-355469
0.007531250,-432761
0.007562500,-338123
0.007593750,-581133
0.007625000,-100202
0.007656250,-488575
0.007687500,-416357
0.007718750,-197436
0.007750000,-286948
0.007781250,-268914
0.007812500,-357661
0.007843750,-117000
0.007875000,-262290
0.007906250,-339832
0.007937500,-249563
0.007968750,-123725
0.008000000,-296915
0.008031250,-112090
0.008062500,-169413
0.008093750,-50931
0.008125000,-26622
0.008156250,-114253
0.008187500,187036
0.008218750,54114
0.008250000,172815
0.008281250,113797
0.008312500,23556
0.008343750,309885
0.008375000,-96287
0.008406250,122119
0.008437500,120856
0.008468750,79550
0.008500000,112117
0.008531250,39755
0.008562500,245621
0.008593750,162449
0.008625000,84698
0.008656250,168978
0.008687500,293164
0.008718750,120621
0.008750000,393446
0.008781250,388893
0.008812500,350398
0.008843750,451873
0.008875000,249387
0.008906250,246507
0.008937500,298731
0.008968750,223665
0.009000000,144606
0.009031250,224237
0.009062500,427437
0.009093750,187918
0.009125000,261746
0.009156250,521754
0.009187500,198838
0.009218750,349985
0.009250000,622053
0.009281250,300471
0.009312500,397528
0.009343750,614445
0.009375000,293845
0.009406250,486646
0.009437500,485627
0.009468750,345293
0.009500000,327385
0.009531250,420695
0.009562500,324909
0.009593750,285696
0.009625000,433154
0.009656250,256599
0.009687500,232976
0.009718750,348509
0.009750000,185047
0.009781250,281720
0.009812500,361755
0.009843750,186294
0.009875000,236030
0.009906250,211496
0.009937500,109128
0.009968750,146934
0.010000000,50977
0.010031250,48092
0.010062500,5538
0.010093750,-65662
